x,y
33.5859,131.25874
33.79871,130.99373
33.90878,130.82658
33.92491,130.84187
33.9243,130.8374
34.16913,131.21915
34.60314,127.18815
34.91394,127.7533
34.91988,127.74761
34.92318,127.74684
35.09836,128.86111
35.14452,128.87297
35.19109,128.70737
35.13681,126.48354
35.21488,126.80906
35.25555,126.33302
35.25962,126.33655
36.02507,129.38983
36.02446,129.38544
35.79086,126.96327
35.83569,126.92135
36.01103,126.6803
36.17485,126.58344
36.29709,127.08885
36.5461,127.75723
36.37095,126.57809
36.60358,127.2712
37.012,128.33672
37.02665,128.31995
36.93706,127.51902
36.82614,126.76617
36.93972,127.46951
37.11192,128.09213
37.11422,128.09242
37.07002,127.47932
36.98748,126.73157
36.9868,126.72725
36.98404,126.70998
36.98129,126.69269
36.98996,126.70401
37.42424,129.17319
37.08821,126.76607
37.13433,127.03692
37.4846,129.05478
37.48398,129.05025
37.30805,126.78182
37.48919,126.6396
37.56872,126.62968
38.33442,127.43276
38.40589,127.23076
38.41051,127.23871
38.49614,127.2858
38.50008,127.28938
38.53262,126.83728
38.40346,126.02009
38.70385,127.70673
38.70779,127.71032
38.70715,127.7059
38.53614,125.79411
38.54537,125.49259
39.02072,127.48871
38.9652,125.92171
39.08151,125.90231
39.08482,125.90144
39.39564,127.45282
39.44435,126.02332
39.92147,127.5787
39.91319,126.83246
40.566,128.9673
39.90054,124.16023
41.43867,126.75857
41.44197,126.75772
41.69242,125.94106
41.77683,126.02304
41.77613,126.01846
41.79813,125.98993
41.80142,125.98903
41.87466,126.36121
41.84374,124.28786
42.26128,126.9697
41.84537,124.28931
42.72092,125.86594
