x,y
36.17115,126.91623
36.85906,127.11555
36.9875,126.73154
36.98394,126.71381
37.48492,129.05827
37.56997,126.63161
39.40284,127.46872
41.24454,124.34081
42.53786,129.00887
42.87694,129.36203
42.16716,124.49789
42.31808,124.38972
42.39414,124.2048
42.42086,124.19533
42.59511,124.16018
42.60645,124.15567
42.60506,124.14916
42.60747,124.1412
42.61264,124.14624
42.61126,124.13974
42.60711,124.12026
42.72903,124.50808
42.92019,124.22084
42.91923,124.22646
42.96401,124.28487
43.00051,124.30488
37.59512,129.01367
37.59922,129.0145
37.48765,129.05621
37.48267,129.04761
37.48619,129.04935
37.48595,129.05325
37.4857,129.05734
37.42453,129.17184
37.0874,128.28174
37.01343,128.33284
36.99107,126.70039
36.98997,126.72932
36.98538,126.68841
36.99098,126.69852
36.98971,126.72746
36.98536,126.68657
36.98511,126.69233
36.00257,129.39539
34.92986,127.74174
34.92961,127.74646
34.92936,127.75114
34.92778,127.74493
34.91639,127.74395
34.91583,127.75335
42.31217,126.16391
39.44634,126.02271
42.79047,124.62389
42.56952,124.40746
42.53421,124.37108
42.24257,124.3884
41.77859,126.01927
41.77769,126.01811
40.04417,124.31588
40.042,124.3185
39.44688,126.02223
37.59793,129.01193
37.42673,129.17012
37.42513,129.17566
37.42294,129.16745
37.4214,129.17288
37.22994,128.32321
37.56836,126.62753
37.08369,128.28253
37.01239,128.33948
37.0104,128.34068
36.98608,126.72749
36.9873,126.70164
36.98727,126.72613
36.98835,126.70021
36.98533,126.69012
36.98429,126.69412
36.98024,126.68804
36.95397,126.61608
37.00667,126.39299
36.00659,129.37387
36.00003,129.39661
35.09654,128.86157
34.92344,127.70628
34.91642,127.70892
34.92348,127.70853
34.91649,127.7112
35.09795,128.87364
34.83519,126.49691
35.99954,129.40259
36.00351,129.37909
36.9867,126.72988
36.98173,126.70947
38.45098,127.42371
38.44942,127.4171
38.59657,127.98735
38.15763,125.61751
38.15669,125.61381
38.15543,125.61521
38.16622,125.61501
38.16531,125.61148
38.16441,125.60799
38.16933,125.60603
38.18711,125.56961
38.19199,125.56745
38.19112,125.56406
38.59067,127.03084
42.96453,131.2841
42.96355,131.27882
