x,y
33.79833,130.9935
33.78152,130.99997
34.85459,127.69415
41.77664,126.02001
41.84502,124.28659
42.52701,124.13279
42.53032,124.13177
33.79833,130.9935
33.78152,130.99997
34.85459,127.69415
41.77664,126.02001
41.84502,124.28659
42.52701,124.13279
42.53032,124.13177
33.91634,130.84549
34.16996,131.21678
35.09909,128.87354
35.09707,128.86093
34.916,127.76732
34.91972,127.74821
36.02428,129.38666
35.63615,126.86507
35.63575,126.86649
36.0871,128.37541
36.09506,128.38234
36.11415,128.37462
35.99081,127.60949
36.22265,128.43248
36.10987,127.66688
36.8937,127.48309
36.90034,127.48138
37.0013,127.45194
36.98168,126.7141
37.1234,127.52746
36.98822,126.73141
36.98743,126.72685
37.16915,127.49842
37.48582,129.05583
37.29902,127.51672
37.48323,128.46478
37.69572,128.98036
37.80708,127.34416
38.01279,127.38326
38.21536,128.06747
38.26994,127.57646
38.26922,127.57202
38.40049,127.26824
39.41815,127.38764
39.44483,126.02055
39.98219,125.46976
40.25002,124.11816
40.97411,128.19962
41.33271,129.54176
40.71627,124.33086
41.79375,127.00514
41.79303,127.00058
41.96716,126.2756
37.48708,129.05559
37.42202,129.17354
36.00867,129.38435
36.00335,129.39413
35.97898,129.3696
35.97864,129.3689
34.1716,131.21606
34.17039,131.21611
33.79857,130.98918
42.59599,124.22531
42.6081,124.15855
42.91819,129.50194
42.32524,125.24407
42.32203,125.23697
37.73787,126.84305
37.4888,126.63843
37.48533,126.63772
36.98757,126.72855
36.99138,126.70033
36.98576,126.68949
36.98231,126.68877
36.98167,126.69347
36.0282,129.39494
36.02491,129.39413
36.01968,129.38406
36.019,129.38831
36.00913,129.38591
36.00719,129.37665
36.00652,129.38089
36.00584,129.38512
35.99993,129.37929
35.9979,129.392
35.99722,129.39622
35.97757,129.36948
35.97222,126.60699
35.44403,129.35023
35.12926,128.85515
35.08372,128.99202
35.08043,128.99126
35.09765,128.86079
35.09699,128.86497
34.92873,127.74567
34.9281,127.74991
34.92748,127.75414
34.92165,127.77037
34.92147,127.74846
34.92272,127.73997
34.91942,127.74932
34.92512,127.71115
34.92068,127.74084
34.92005,127.74507
34.91215,127.75208
34.91072,127.73863
34.85017,127.70792
33.95092,131.22676
33.94666,131.23042
33.94205,130.82646
33.92374,130.84967
33.92087,130.8257
33.92009,130.83014
33.91772,130.84346
33.91747,130.82486
33.914320000000004,130.84261
33.91067,130.8231
33.79951,130.99304
33.79609,130.99217
33.78342,131.00302
33.77999,131.00214
33.79912,130.99078
34.17108,131.21992
34.16827,131.21803
35.08157,128.98871
34.91327,127.75285
34.91994,127.75145
34.91933,127.74717
34.92722,127.75432
35.09693,128.86464
34.90972,127.51257
35.09957,128.83162
35.36797,126.51148
36.00319,129.37866
36.01022,129.37735
35.88926,126.66889
35.97231,126.61159
36.8554,127.48088
41.30553,129.62076
33.30136,131.20206
33.30547,131.2045
33.30393,131.19888
35.08068,128.99123
41.8735,126.36432
42.84949,124.45606
39.98198,125.88562
41.8742,126.36482
42.32205,125.23604
41.40377,125.55665
39.44244,126.02364
37.59682,129.01385
37.48413,129.05431
37.48157,129.04907
37.42363,129.17192
37.49196,126.63471
37.49132,126.63911
37.49067,126.64352
36.98793,126.72991
36.98517,126.70235
36.98389,126.71104
36.9838,126.68855
36.98315,126.69289
37.00118,126.35829
36.95343,126.62021
36.01817,129.38316
42.32353,125.23479
39.44321,126.02197
39.44345,126.02171
42.91819,129.50194
36.00438,129.37608
35.09825,128.86395
35.08585,128.98962
34.92345,127.73993
34.9232,127.74575
33.95827,131.23514
33.95372,131.22745
33.95019,131.22618
33.94438,130.82651
33.91711,130.84235
33.80058,130.9888
33.80031,130.9924
33.78441,130.99785
36.98354,126.68909
42.32297,125.23398
42.3209,125.24329
42.31885,125.2525
37.01421,128.33195
36.98814,126.72459
36.98211,126.68638
36.00404,129.37712
36.00013,129.39116
35.08242,128.98598
35.09743,128.86281
33.95247,131.22591
34.92278,127.70628
33.91064,130.8215
33.78246,130.99475
33.78131,130.99976
33.79758,130.9924
33.90905,130.82484
34.91542,127.74741
35.28175,128.18489
35.27886,128.18877
42.71735,130.74214
